rank gene description N n npat nsite nsil *CpG3>T Tp*Cp(A/C/T)3>(T/G) *CpG3>(G/A) (A/G/T)p*G3>T (A/C/G)p*Cp(A/C/T)3>(T/G) A3>mut indel+null p q
37 LILRB1 leukocyteBimmunoglobulin3likeBreceptor,BsubfamilyBBB(withBTMBandBITIMBdomains),BmemberB1 141971 5 5 5 0 1 1 0 1 0 2 0 0.00018 0.09
38 PKHD1L1 polycysticBkidneyBandBhepaticBdiseaseB1B(autosomalBrecessive)3likeB1 884500 11 6 11 2 0 1 0 2 1 5 2 0.00019 0.096
39 CNTNAP2 contactinBassociatedBprotein3likeB2 292333 6 6 6 0 1 0 0 3 1 1 0 0.00021 0.1
40 SLITRK3 SLITBandBNTRK3likeBfamily,BmemberB3 217238 5 5 5 1 2 0 0 0 1 1 1 0.00022 0.11
41 C7orf23 chromosomeB7BopenBreadingBframeB23 27487 2 2 2 0 0 0 1 0 0 0 1 0.00023 0.11
42 NUDT14 nudixB(nucleosideBdiphosphateBlinkedBmoietyBX)3typeBmotifB14 38278 3 3 3 0 1 1 1 0 0 0 0 0.00023 0.11
43 WIPF2 WAS/WASLBinteractingBproteinBfamily,BmemberB2 99093 4 2 4 0 0 3 0 1 0 0 0 0.00025 0.11
44 RUFY1 RUNBandBFYVEBdomainBcontainingB1 136877 4 4 4 0 1 0 1 0 1 1 0 0.00025 0.11
45 TP63 tumorBproteinBp63 167168 5 5 5 0 2 1 0 0 1 0 1 0.00031 0.13
46 MAGEC2 melanomaBantigenBfamilyBC,B2 83183 3 3 3 0 0 0 1 0 0 1 1 0.00034 0.14
47 NSD1 nuclearBreceptorBbindingBSETBdomainBproteinB1 598944 7 7 7 0 1 0 0 1 1 0 4 0.00035 0.14
48 NUDT11 nudixB(nucleosideBdiphosphateBlinkedBmoietyBX)3typeBmotifB11 28229 2 2 1 0 0 0 0 0 0 0 2 0.00035 0.14
49 C1QL2 complementBcomponentB1,BqBsubcomponent3likeB2 35528 3 3 3 0 1 0 0 1 0 1 0 0.00035 0.14
50 SLC2A13 soluteBcarrierBfamilyB2B(facilitatedBglucoseBtransporter),BmemberB13 114636 4 4 4 0 1 2 0 1 0 0 0 0.00037 0.14
51 NRK NikBrelatedBkinase 279668 5 5 5 0 2 0 0 2 0 1 0 0.00038 0.14
52 FAAH2 fattyBacidBamideBhydrolaseB2 115923 3 3 3 0 0 0 1 0 2 0 0 0.00039 0.14
53 OR8H2 olfactoryBreceptor,BfamilyB8,BsubfamilyBH,BmemberB2 69634 3 3 3 2 0 0 0 2 0 1 0 0.0004 0.14
54 FAM135B familyBwithBsequenceBsimilarityB135,BmemberBB 317079 6 6 6 1 0 1 0 0 2 3 0 0.00041 0.14
55 ABI3 ABIBgeneBfamily,BmemberB3 52319 3 3 3 0 2 0 0 0 0 0 1 0.00042 0.14
56 NFE2L2 nuclearBfactorB(erythroid3derivedB2)3likeB2 132201 4 4 3 0 0 3 0 0 1 0 0 0.00047 0.16
57 IRF6 interferonBregulatoryBfactorB6 105948 4 4 4 0 0 1 0 1 0 1 1 0.00049 0.16
58 PCDH15 protocadherinB15 551642 7 5 7 2 3 1 0 2 0 1 0 0.0005 0.16
59 CDH12 cadherinB12,BtypeB2B(N3cadherinB2) 179746 4 4 4 1 0 0 0 3 0 1 0 0.00054 0.17
60 ZNF572 zincBfingerBproteinB572 118191 3 2 3 0 0 0 0 0 0 0 3 0.00056 0.17
61 DDX3X DEADB(Asp3Glu3Ala3Asp)BboxBpolypeptideB3,BX3linked 147437 4 3 4 0 0 1 0 0 1 0 2 0.00057 0.18
62 PKP4 plakophilinB4 267773 5 5 5 0 0 0 1 2 0 1 1 0.00058 0.18
63 GPR174 GBprotein3coupledBreceptorB174 73582 3 3 3 0 0 1 0 0 0 0 2 0.00059 0.18
64 ADAMTS12 ADAMBmetallopeptidaseBwithBthrombospondinBtypeB1Bmotif,B12 361095 6 5 6 2 3 1 0 0 1 1 0 0.00066 0.19
65 OR8K1 olfactoryBreceptor,BfamilyB8,BsubfamilyBK,BmemberB1 71080 3 3 3 0 1 1 0 0 0 1 0 0.00066 0.19
66 MEF2C myocyteBenhancerBfactorB2C 106572 4 4 4 1 1 2 0 0 0 1 0 0.0007 0.2
67 H3F3C 30439 2 2 2 0 0 0 0 0 0 2 0 0.00072 0.2
68 ZNF823 zincBfingerBproteinB823 135759 4 4 4 0 0 2 0 1 1 0 0 0.00072 0.2
69 LRRTM1 leucineBrichBrepeatBtransmembraneBneuronalB1 107691 4 4 4 0 1 0 0 1 1 0 1 0.00074 0.2
70 NAV3 neuronBnavigatorB3 535135 8 8 8 1 1 1 0 1 1 3 1 0.00084 0.22
71 PROKR2 prokineticinBreceptorB2 85920 3 3 3 1 0 0 1 1 0 1 0 0.00087 0.22
72 KCNA6 potassiumBvoltage3gatedBchannel,Bshaker3relatedBsubfamily,BmemberB6 112736 4 4 4 1 1 1 1 0 0 0 1 0.00087 0.22
73 STYK1 serine/threonine/tyrosineBkinaseB1 96355 3 3 3 0 1 0 0 2 0 0 0 0.00087 0.22
74 ANO4 211459 5 5 5 0 0 2 0 1 1 1 0 0.00089 0.22
75 COL1A2 collagen,BtypeBI,BalphaB2 299548 5 4 5 3 0 0 1 0 1 2 1 0.00089 0.22
76 HIST1H4H histoneBclusterB1,BH4h 23384 2 2 2 1 0 0 1 1 0 0 0 0.00091 0.23
